,values
1669,-2.98587
1670,-10.11123
1671,-2.75793
1672,-12.10296
1673,-0.87312
1674,-12.93477
1675,-1.95376
1676,-11.18875
1677,-0.11699
1678,-12.70163
1679,0.59589
1680,-14.80163
1681,-3.60299
1682,-10.42335
1683,-3.22045
1684,-9.19606
1685,-1.87523
1686,-10.75706
1687,-1.95009
1688,-11.61778
1689,-2.55791
1690,-9.50012
1691,-1.8508
1692,-7.22896
1693,-1.0549
1694,-9.76792
1695,-1.0651
1696,-12.29089
1697,-4.68495
1698,-7.47515
1699,-5.97436
1700,-5.18299
1701,-7.7163
1702,-5.58666
1703,-7.21491
1704,-4.47134
1705,-8.89496
1706,-4.17528
1707,-6.80471
1708,-3.28637
1709,-7.46475
1710,-3.67644
1711,-9.0787
1712,-4.4818
1713,-7.70337
1714,-4.62867
1715,-6.50193
1716,-5.73551
1717,-6.39258
1718,-4.02394
1719,-7.13052
1720,-2.44167
1721,-7.43863
1722,-5.00834
1723,-5.44977
1724,-5.89019
1725,-3.04249
1726,-7.71293
1727,-0.74923
1728,-9.79625
1729,-1.54119
1730,-12.27613
1731,-1.96128
1732,-11.3758
1733,-2.80301
1734,-10.92261
1735,0.22534
1736,-12.35835
1737,-0.79269
1738,-13.07251
1739,-2.06974
1740,-12.05685
1741,-0.61816
1742,-12.11079
1743,-0.85312
1744,-11.68895
1745,-1.37429
1746,-10.54837
1747,0.14443
1748,-12.71116
1749,-3.73752
1750,-9.20448
1751,-3.42226
1752,-8.09829
1753,-3.29641
1754,-8.26415
1755,-3.77453
1756,-5.48771
1757,-4.59455
1758,-6.46084
1759,-3.95025
1760,-7.68446
1761,-2.53384
1762,-10.48918
1763,-1.81617
1764,-8.76336
1765,-1.1825
1766,-9.99093
1767,-2.54273
1768,-7.1085
1769,-4.09118
1770,-7.54536
1771,-6.06815
1772,-5.50933
1773,-4.9497
1774,-6.31754
1775,-3.1241
1776,-6.75675
1777,-5.90873
1778,-3.63203
1779,-8.08237
1780,-1.57791
1781,-10.30157
1782,-1.26348
1783,-10.93809
1784,-0.83749
1785,-11.94307
1786,-0.941
1787,-13.66972
1788,-1.44192
1789,-8.77511
1790,-1.96259
1791,-9.79295
1792,-3.53929
1793,-6.85532
1794,-3.94141
1795,-7.48145
1796,-1.36491
1797,-11.96478
1798,-2.28873
1799,-10.88621
1800,-0.08117
1801,-11.2835
1802,0.25216
1803,-13.22357
1804,0.48274
1805,-15.70031
1806,-1.19372
1807,-12.41042
1808,-0.23528
1809,-14.09521
1810,-1.1458
1811,-11.14222
1812,-1.86667
1813,-10.7612
1814,-1.58267
1815,-11.64689
1816,-2.50955
1817,-9.92435
1818,-2.26003
1819,-10.35084
1820,-3.7455
1821,-5.68869
1822,-4.2973
1823,-7.0906
1824,-4.8398
1825,-5.59469
1826,-5.0184
1827,-5.50732
1828,-6.20277
1829,-5.96052
1830,-5.30596
1831,-5.58119
1832,-5.39895
1833,-5.12529
1834,-5.26266
1835,-7.2401
1836,-3.38729
1837,-8.38922
1838,-1.32256
1839,-10.63333
1840,-1.74053
1841,-11.64628
1842,0.24542
1843,-14.46984
1844,-0.48131
1845,-13.71679
1846,-2.02847
1847,-9.36875
1848,-0.83848
1849,-10.96935
1850,-1.8462
1851,-8.52834
1852,-3.32664
1853,-6.45324
1854,-5.32473
1855,-7.94418
1856,-4.83552
1857,-5.1788
1858,-4.2423
1859,-6.79038
1860,-3.79256
1861,-7.10446
1862,-2.16328
1863,-9.17952
1864,-1.98419
1865,-10.90733
1866,-1.53145
1867,-11.78921
1868,0.25759
1869,-13.07099
1870,-1.60903
1871,-11.85934
1872,-0.66655
1873,-10.67368
1874,-2.12478
1875,-9.91879
1876,-1.61631
1877,-9.3354
1878,-1.03157
1879,-10.84466
1880,-1.68743
1881,-11.02026
1882,-2.20679
1883,-9.37122
1884,-0.9591
1885,-9.82123
1886,-4.2674
1887,-8.05266
1888,-1.57745
1889,-9.32898
1890,-0.86453
1891,-13.15398
1892,-2.52614
1893,-10.51693
1894,-3.77531
1895,-8.69865
1896,-2.48385
1897,-8.61299
1898,-4.26749
1899,-6.25526
1900,-4.76663
1901,-6.49785
1902,-5.79074
1903,-6.40687
1904,-5.24764
1905,-5.78177
1906,-5.17881
1907,-5.72559
1908,-6.54429
1909,-4.93303
1910,-7.06679
1911,-4.08555
1912,-6.67905
1913,-3.62413
1914,-6.53931
1915,-3.82359
1916,-9.07214
1917,-2.82171
1918,-8.20479
1919,-3.78695
1920,-5.23557
1921,-4.13301
1922,-7.58979
1923,-4.02785
1924,-7.26758
1925,-3.46682
1926,-8.29519
1927,-4.12987
1928,-7.78329
1929,-3.33681
1930,-8.68098
1931,-4.62496
1932,-5.62663
1933,-3.91763
1934,-7.91658
1935,-3.79644
1936,-5.85638
1937,-4.72236
1938,-5.8339
1939,-5.17093
1940,-5.67117
1941,-5.19855
1942,-4.34402
1943,-4.00321
1944,-4.24285
1945,-6.45168
1946,-2.86382
1947,-6.57945
1948,-3.1296
1949,-6.47113
1950,-5.10925
1951,-7.85401
1952,-2.31762
1953,-9.76529
1954,-2.04571
1955,-10.90943
1956,-0.76177
1957,-9.67613
1958,-1.39132
1959,-11.67459
1960,-0.31605
1961,-11.91018
1962,-2.40703
1963,-10.39117
1964,-3.56157
1965,-7.87659
1966,-0.17802
1967,-14.16855
1968,-1.76049
1969,-11.86846
1970,-0.08992
1971,-14.12679
1972,-3.29985
1973,-8.00926
1974,-3.71033
1975,-8.20342
1976,-2.89632
1977,-8.18715
1978,-4.16811
1979,-6.5464
1980,-4.51986
1981,-6.97742
1982,-4.7322
1983,-5.59182
1984,-3.85808
1985,-5.36006
1986,-5.19973
1987,-4.14049
1988,-5.53123
1989,-3.90951
1990,-6.5395
1991,-4.21825
1992,-5.59097
1993,-2.57464
1994,-7.51893
1995,-3.70976
1996,-5.13677
1997,-6.46728
1998,-4.33642
1999,-6.82921
2000,-5.31532
2001,-6.26221
2002,-5.62629
2003,-5.96361
2004,-6.4896
2005,-6.18999
2006,-5.6932
2007,-5.50611
2008,-5.09179
2009,-5.68617
2010,-3.24937
2011,-8.02468
2012,-2.49699
2013,-11.227
2014,-2.67971
2015,-12.32016
2016,-3.57145
2017,-9.77849
2018,-3.22881
2019,-8.89407
2020,-4.33358
2021,-8.30671
2022,-1.80195
2023,-10.40975
2024,-2.02662
2025,-9.51148
2026,-0.68116
2027,-12.41858
2028,-3.82306
2029,-9.64903
2030,-1.46963
2031,-10.37979
2032,-0.28397
2033,-11.64079
2034,-0.77953
2035,-13.20127
2036,-1.28441
2037,-12.25547
2038,-1.97479
2039,-11.27598
2040,-2.04501
2041,-10.22953
2042,-0.87342
2043,-12.08566
2044,-1.77893
2045,-10.44467
2046,-0.80652
2047,-10.8027
2048,-1.50477
2049,-11.68733
2050,-3.17591
2051,-9.3238
2052,-2.14228
2053,-7.98477
2054,-2.82946
2055,-8.87234
2056,-3.56138
2057,-6.72361
2058,-3.7785
2059,-6.25218
2060,-2.91289
2061,-7.88432
2062,-3.58997
2063,-8.73895
2064,-3.70003
2065,-8.97903
2066,-3.45741
2067,-7.97171
2068,-3.03876
2069,-6.74268
2070,-4.27202
2071,-6.52381
2072,-3.69435
2073,-8.54031
2074,-2.69817
2075,-6.78516
2076,-4.36748
2077,-7.74538
2078,-3.94586
2079,-8.79585
2080,-1.82033
2081,-9.88664
2082,-1.38796
2083,-12.14443
2084,-2.0482
2085,-9.83388
2086,-1.66344
2087,-10.97122
2088,0.25188
2089,-11.80539
2090,-0.64495
2091,-11.1627
2092,-2.1935
2093,-8.81273
2094,-2.60312
2095,-8.76555
2096,-2.5984
2097,-9.99227
2098,-3.37269
2099,-8.38436
2100,-3.20526
2101,-8.19998
2102,-2.23765
2103,-9.75506
2104,-3.8476
2105,-8.24182
2106,-3.44176
2107,-6.86162
2108,-6.71981
2109,-5.02978
2110,-5.45961
2111,-6.70356
2112,-3.87636
2113,-8.07715
2114,-1.49673
2115,-10.34845
2116,-2.34475
2117,-7.57841
2118,-2.93275
2119,-8.59339
2120,-3.67373
2121,-5.3032
2122,-5.25808
2123,-7.01543
2124,-6.35266
2125,-4.99811
2126,-4.78148
2127,-5.0298
2128,-4.64687
2129,-6.12716
2130,-5.00002
2131,-4.50886
2132,-7.95709
2133,-4.11874
2134,-6.48764
2135,-2.91371
2136,-8.52931
2137,-3.03936
2138,-7.1851
2139,-3.03935
2140,-8.54148
2141,-4.45018
2142,-9.64416
2143,-3.30437
2144,-9.46986
2145,-3.68384
2146,-9.78541
2147,-1.93269
2148,-8.99618
2149,-2.43691
2150,-10.30124
2151,0.25042
2152,-14.66801
2153,-3.2502
2154,-9.86682
2155,-0.51395
2156,-13.93777
2157,-1.15525
2158,-13.11759
2159,0.36617
2160,-14.81795
2161,-1.43031
2162,-12.42527
2163,1.13673
2164,-14.68527
2165,-2.12308
2166,-11.49662
2167,1.15077
2168,-15.57875
2169,-1.32703
2170,-13.10855
2171,-4.1839
2172,-10.49032
2173,-2.53576
2174,-8.6006
2175,-2.82926
2176,-12.65874
2177,-3.81489
2178,-8.56763
2179,-1.88943
2180,-8.86928
2181,-3.34733
2182,-9.27663
2183,-1.86666
2184,-11.04949
2185,-0.82184
2186,-11.81433
2187,-2.40149
2188,-11.03188
2189,-0.17615
2190,-12.65967
2191,-2.56603
2192,-9.37472
2193,-1.70159
2194,-9.44933
2195,0.19408
2196,-11.88131
2197,-0.53354
2198,-14.54794
2199,0.74465
2200,-14.5971
2201,-2.12069
2202,-11.70731
2203,-2.51145
2204,-9.58601
2205,-0.28727
2206,-11.93591
2207,-1.01615
2208,-10.85664
2209,-2.59011
2210,-9.35794
2211,-3.51817
2212,-8.972
2213,-4.1025
2214,-6.33113
2215,-5.41332
2216,-6.52062
2217,-6.01771
2218,-5.27347
2219,-6.14761
2220,-3.51635
2221,-7.2372
2222,-4.21383
2223,-6.54241
2224,-2.13399
2225,-7.71727
2226,-4.21157
2227,-6.82011
2228,-4.66403
2229,-7.27085
2230,-3.37255
2231,-8.82731
2232,-4.36362
2233,-5.48647
2234,-2.8549
2235,-8.11901
2236,-1.51986
2237,-12.85431
2238,-0.17488
2239,-12.47699
2240,0.69217
2241,-14.4129
2242,-1.81154
2243,-12.26181
2244,-3.27519
2245,-10.134
2246,-2.33905
2247,-9.27262
2248,-0.83902
2249,-11.50434
2250,-0.89063
2251,-11.53897
2252,-0.09361
2253,-14.10903
2254,-3.46107
2255,-9.83307
2256,-3.36875
2257,-9.5445
2258,-3.80983
2259,-8.59507
2260,-2.3445
2261,-10.81337
2262,-1.88653
2263,-11.29287
2264,-2.21272
2265,-11.24792
2266,-1.86196
2267,-10.98151
2268,-2.19235
2269,-6.72225
2270,-3.65251
2271,-6.89508
2272,-4.431
2273,-6.06893
2274,-5.48849
2275,-7.30293
2276,-4.41049
2277,-6.74177
2278,-2.36907
2279,-8.47686
2280,-2.06704
2281,-10.12204
2282,-2.19833
2283,-8.93194
2284,-1.02675
2285,-10.31533
2286,-1.69783
2287,-13.36539
2288,-1.13781
2289,-13.20783
2290,-3.46718
2291,-7.52705
2292,-2.84202
2293,-7.12044
2294,-2.55015
2295,-7.86501
2296,-3.77122
2297,-7.27846
2298,-4.65749
2299,-8.70509
2300,-2.80286
2301,-8.47084
2302,-3.38393
2303,-8.18777
2304,-2.13134
2305,-8.51461
2306,-3.95308
2307,-7.07146
2308,-2.89501
2309,-9.4866
2310,-0.31418
2311,-11.71792
2312,-0.37837
2313,-10.92984
2314,-2.06101
2315,-11.69587
2316,-1.99166
2317,-11.41057
2318,-1.58744
2319,-10.42202
2320,-3.54536
2321,-8.95152
2322,-2.08891
2323,-9.34118
2324,-3.24745
2325,-8.67104
2326,-4.89978
2327,-8.06991
2328,-5.32698
2329,-7.12705
2330,-5.42247
2331,-5.14927
2332,-6.28791
2333,-2.94326
2334,-7.64667
2335,-3.64937
2336,-7.56413
2337,-4.23114
2338,-8.84513
2339,-1.52822
2340,-10.793
2341,-2.96535
2342,-8.38316
2343,-1.94926
2344,-9.60161
2345,-2.11226
2346,-11.57022
2347,-2.49093
2348,-11.3545
2349,-1.75337
2350,-12.6982
2351,-2.53353
2352,-8.39288
2353,-1.35421
2354,-9.05077
2355,-4.15119
2356,-7.05031
2357,-3.41779
2358,-9.23537
2359,-2.55565
2360,-9.64411
2361,-2.89499
2362,-9.19089
2363,-3.33286
2364,-11.25527
2365,-1.42691
2366,-10.90652
2367,-2.09672
2368,-10.1374
2369,-2.50964
2370,-8.68323
2371,-3.60411
2372,-8.5765
2373,-2.85922
2374,-7.97678
2375,-2.92095
2376,-7.6933
2377,-2.13183
2378,-10.6811
2379,-2.15136
2380,-9.31202
2381,-5.11361
2382,-5.86223
2383,-4.96078
2384,-5.82871
2385,-6.63403
2386,-5.02285
2387,-5.99179
2388,-4.33122
2389,-9.29614
2390,-1.23863
2391,-12.73859
2392,-2.39916
2393,-10.59069
2394,-1.75387
2395,-11.31568
2396,-0.85173
2397,-10.24214
2398,-2.36883
2399,-11.42591
2400,-1.94741
2401,-10.84265
2402,-2.13734
2403,-9.27946
2404,-2.24515
2405,-8.22337
2406,-4.00136
2407,-9.22067
2408,-2.78207
2409,-7.72948
2410,-4.26231
2411,-7.63941
2412,-4.24212
2413,-6.95667
2414,-4.93745
2415,-9.31738
2416,-2.28167
2417,-10.87811
2418,-2.38076
2419,-9.98052
2420,-1.60525
2421,-11.09284
2422,0.84919
2423,-12.3498
2424,-3.24753
2425,-10.37372
2426,-0.96175
2427,-11.07988
2428,-1.05836
2429,-12.59958
2430,-0.54324
2431,-11.94971
2432,-0.57057
2433,-13.73449
2434,-3.08667
2435,-9.1922
2436,-1.73922
2437,-9.25602
2438,-1.62803
2439,-10.61653
2440,-2.18902
2441,-10.13772
2442,-2.37488
2443,-7.92075
2444,-2.31843
2445,-8.52919
2446,-1.2369
2447,-12.63151
2448,-0.60962
2449,-11.77338
2450,-1.24003
2451,-10.82216
2452,-2.88783
2453,-6.8995
2454,-4.24985
2455,-8.07693
2456,-3.01842
2457,-9.2731
2458,-3.50634
2459,-7.32736
2460,-5.54628
2461,-5.8026
2462,-4.98461
2463,-6.29463
2464,-6.17414
2465,-0.96001
2466,-9.36359
2467,1.24166
2468,-13.64328
2469,-1.59466
2470,-11.21697
2471,-1.24449
2472,-13.90268
2473,-2.40876
2474,-10.22444
2475,-2.96781
2476,-8.80609
2477,-3.39044
2478,-7.44802
2479,-4.41917
2480,-8.49349
2481,-3.43399
2482,-8.76668
2483,-1.48602
2484,-10.0142
2485,-3.25546
2486,-8.08273
2487,-2.46572
2488,-10.91384
2489,-3.82433
2490,-9.20148
2491,-1.73249
2492,-11.57807
2493,-2.37188
2494,-9.38365
2495,-3.28154
2496,-8.91852
2497,-1.52651
2498,-9.53655
2499,-1.19539
2500,-10.44475
2501,-4.6559
2502,-7.32221
2503,-1.75025
2504,-8.54223
2505,-2.31315
2506,-8.99649
2507,-2.88491
2508,-9.60036
2509,-3.50692
2510,-9.80236
2511,-1.99662
2512,-7.20468
2513,-7.14111
2514,-3.70815
2515,-7.36475
2516,-4.43001
2517,-5.61258
2518,-3.45651
2519,-7.8623
2520,-0.82384
2521,-8.63786
2522,-0.00756
2523,-10.78427
2524,-0.40472
2525,-10.15075
2526,-1.88264
2527,-9.73055
2528,-0.66542
2529,-14.4072
2530,0.12923
2531,-15.05113
2532,-0.61273
2533,-16.82946
2534,-4.61324
2535,-7.81279
2536,-4.7911
2537,-7.56132
2538,-4.09883
2539,-7.15274
2540,-3.11338
2541,-10.35758
2542,-1.94073
2543,-11.02608
2544,-1.78401
2545,-11.30606
2546,-2.88704
2547,-10.40687
2548,-3.18785
2549,-10.93319
2550,-2.59383
2551,-11.23204
2552,-1.22953
2553,-10.84851
2554,-1.26557
2555,-13.04718
2556,-1.98247
2557,-12.70787
2558,-0.39997
2559,-13.21647
2560,-0.50929
2561,-12.96047
2562,1.7431
2563,-16.88424
2564,-2.42901
2565,-11.56528
2566,-2.56095
2567,-9.13685
2568,-3.36189
2569,-8.01409
2570,-3.13321
2571,-8.10179
2572,-1.84777
2573,-9.53226
2574,-4.01304
2575,-8.10303
2576,-2.43942
2577,-8.18052
2578,-2.71525
2579,-9.06439
2580,-3.05919
2581,-6.20935
2582,-3.57344
2583,-6.69978
2584,-3.88568
2585,-6.59916
2586,-2.47346
2587,-8.35408
2588,-5.17547
2589,-6.88083
2590,-5.24066
2591,-6.24169
2592,-3.00652
2593,-6.55973
2594,-4.43632
2595,-7.63548
2596,-1.83285
2597,-10.42745
2598,-1.70119
2599,-10.23323
2600,-0.37341
2601,-10.66041
2602,-0.39777
2603,-14.12383
2604,0.27443
2605,-14.91927
2606,-0.58974
2607,-14.32368
2608,-1.58219
2609,-13.97953
2610,-1.28672
2611,-12.04508
2612,-1.95947
2613,-10.06301
2614,-1.5922
2615,-11.36525
2616,-3.9678
2617,-10.49505
2618,-3.04321
2619,-9.32532
2620,-0.23943
2621,-11.55223
2622,-1.61611
2623,-10.93348
2624,-1.15017
2625,-10.41281
2626,-1.69768
2627,-11.46545
2628,-3.74261
2629,-11.39449
2630,-2.55279
2631,-8.84947
2632,-1.06096
2633,-11.2452
2634,-0.86595
2635,-11.66608
2636,-1.4201
2637,-9.84377
2638,1.07612
2639,-15.2318
2640,-2.19913
2641,-11.81648
2642,-0.69412
2643,-12.26627
2644,-3.25718
2645,-10.38409
2646,-2.28398
2647,-10.28752
2648,-3.01714
2649,-8.80613
2650,-1.72558
2651,-9.88646
2652,-4.57982
2653,-8.10172
2654,-4.75107
2655,-5.65445
2656,-5.84266
2657,-4.42436
2658,-4.17739
2659,-7.67947
2660,-3.89527
2661,-8.8809
2662,-3.89959
2663,-7.42734
2664,-4.24243
2665,-5.14837
2666,-5.07317
2667,-6.89588
2668,-3.80154
2669,-8.38383
2670,-1.32602
2671,-9.49593
2672,-0.61748
2673,-12.22655
2674,0.3374
2675,-13.5742
2676,-1.36248
2677,-14.65231
2678,-2.41464
2679,-11.77405
2680,-0.46428
2681,-11.14142
2682,-1.33037
2683,-11.87199
2684,-1.17633
2685,-11.45634
2686,-1.4313
2687,-9.90468
2688,-0.24702
2689,-10.22761
2690,-0.79995
2691,-11.81264
2692,-2.60997
2693,-10.12292
2694,-3.41287
2695,-6.85072
2696,-3.20594
2697,-8.3531
2698,-3.73875
2699,-8.51498
2700,-1.55061
2701,-8.68079
2702,-2.07201
2703,-9.65959
2704,-1.71344
2705,-8.82941
2706,-3.6363
2707,-7.07465
2708,-4.05263
2709,-7.62378
2710,-4.46256
2711,-6.31346
2712,-4.32469
2713,-8.40295
2714,-1.99745
2715,-7.85368
2716,-4.21832
2717,-8.42062
2718,-3.42054
2719,-9.45254
2720,-3.3059
2721,-9.1439
2722,-3.01423
2723,-8.55218
2724,-1.51408
2725,-11.45136
2726,-1.45689
2727,-11.21818
2728,-3.8876
2729,-9.27968
2730,-5.21193
2731,-5.99848
2732,-4.27437
2733,-5.9637
2734,-6.7772
2735,-3.5598
2736,-7.82647
2737,-2.90947
2738,-9.76234
2739,-3.55043
2740,-9.22157
2741,-2.38688
2742,-8.55608
2743,-3.07968
2744,-6.98169
2745,-1.54419
2746,-9.75382
2747,-3.21451
2748,-8.66654
2749,-2.7084
2750,-7.74895
2751,-2.29745
2752,-8.75032
2753,-4.03569
2754,-6.95175
2755,-4.3934
2756,-4.37617
2757,-4.7394
2758,-7.75536
2759,-2.42232
2760,-8.13692
2761,-4.78097
2762,-8.02607
2763,-2.86639
2764,-7.22308
2765,-3.62826
2766,-8.35708
2767,-1.8585
2768,-7.95346
2769,-1.49732
2770,-9.43876
2771,-1.67191
2772,-10.04266
2773,-1.88551
2774,-9.29779
2775,0.73796
2776,-12.25004
2777,0.09133
2778,-15.73287
2779,-1.82251
2780,-10.48017
2781,-2.40965
2782,-9.20057
2783,-3.42942
2784,-7.18102
2785,-2.38158
2786,-9.49976
2787,-1.24317
2788,-12.78261
2789,-0.70002
2790,-13.66365
2791,-0.40504
2792,-13.02689
2793,-0.66559
2794,-12.6812
2795,-4.26703
2796,-8.67628
2797,-1.06057
2798,-10.64303
2799,-2.29596
2800,-7.43339
2801,-5.65172
2802,-4.38006
2803,-6.92021
2804,-3.43862
2805,-5.76697
2806,-6.37333
2807,-5.58237
2808,-7.46544
2809,-3.60393
2810,-8.07816
2811,-5.53102
2812,-5.99155
2813,-4.69502
2814,-6.02144
2815,-2.62519
2816,-9.03786
2817,-2.72905
2818,-8.91753
2819,-1.91902
2820,-8.99826
2821,-1.26309
2822,-8.25704
2823,-2.74124
2824,-8.6591
2825,-1.60193
2826,-8.94338
2827,-3.1424
2828,-10.33365
2829,-3.45037
2830,-6.81917
2831,-2.83998
2832,-9.20381
2833,-3.98349
2834,-9.52201
2835,-3.74499
2836,-8.90217
2837,-1.66148
2838,-8.53411
2839,-2.95121
2840,-9.35994
2841,-2.24522
2842,-9.17725
2843,-3.85885
2844,-6.80321
2845,-5.31192
2846,-4.0254
2847,-5.49011
2848,-5.6775
2849,-5.87868
2850,-6.10171
2851,-7.05658
2852,-2.48241
2853,-6.71727
2854,-4.15739
2855,-6.87061
2856,-1.37431
2857,-9.95921
2858,-2.36061
2859,-10.60553
2860,-2.56485
2861,-8.54045
2862,-4.02455
2863,-8.83566
2864,-2.4131
2865,-7.66344
2866,-3.08414
2867,-6.54887
2868,-4.92697
2869,-4.57013
2870,-5.57603
2871,-6.21974
2872,-5.50473
2873,-6.8586
2874,-4.97705
2875,-5.45208
2876,-4.34247
2877,-6.66608
2878,-2.72627
2879,-7.29631
2880,-2.87846
2881,-8.6883
2882,-2.68628
2883,-9.09398
2884,-3.19316
2885,-8.55039
2886,-2.77352
2887,-6.63728
2888,-1.91514
2889,-9.98314
2890,-3.57411
2891,-7.54129
2892,-2.31672
2893,-8.81954
2894,-2.17455
2895,-9.64802
2896,-0.85616
2897,-13.5115
2898,-3.19354
2899,-7.9317
2900,-2.9469
2901,-8.15908
2902,-3.71625
2903,-7.32017
2904,-5.13908
2905,-6.83552
2906,-5.08521
2907,-5.88787
2908,-5.34681
2909,-6.43191
2910,-6.28037
2911,-2.60662
2912,-7.29571
2913,-2.59014
2914,-7.99721
2915,-2.64993
2916,-8.40454
2917,-3.75942
2918,-9.34637
2919,-1.96454
2920,-9.1796
2921,-2.58023
2922,-10.26869
2923,-3.02799
2924,-8.35006
2925,-2.96073
2926,-7.54275
2927,-1.54023
2928,-10.73712
2929,-1.29505
2930,-10.14646
2931,-1.98323
2932,-9.33852
2933,0.02503
2934,-12.26014
2935,-1.14465
2936,-7.33306
2937,-4.93574
2938,-7.46239
2939,-4.57398
2940,-5.39104
2941,-5.83604
2942,-4.7394
2943,-4.60064
2944,-5.13184
2945,-5.57992
2946,-3.24496
2947,-8.45258
2948,-2.98931
2949,-7.8333
2950,-3.1367
2951,-8.48092
2952,-1.91756
2953,-9.75598
2954,-2.39169
2955,-8.30864
2956,-2.828
2957,-6.90614
2958,-3.48317
2959,-6.31064
2960,-3.22455
2961,-7.69077
2962,-3.15125
2963,-7.45339
2964,-3.53409
2965,-8.89895
2966,-2.78391
2967,-10.17482
2968,-3.02379
2969,-9.42958
2970,-2.47832
2971,-9.69291
2972,-2.91059
2973,-8.02826
2974,-4.13876
2975,-6.24384
2976,-3.16365
2977,-7.92827
2978,-4.17416
2979,-6.36822
2980,-1.4956
2981,-9.38814
2982,-3.89471
2983,-9.65329
2984,-3.18856
2985,-8.54631
2986,-5.43889
2987,-7.9813
2988,-2.20948
2989,-6.64491
2990,-2.67207
2991,-8.62964
2992,-3.09782
2993,-8.89932
2994,-2.26179
2995,-10.26549
2996,-1.86375
2997,-9.24175
2998,-2.01719
2999,-9.51743
3000,-3.76337
3001,-6.60491
3002,-2.30451
3003,-7.4469
3004,-2.57189
3005,-7.63217
3006,-0.70908
3007,-13.02293
3008,-0.33346
3009,-14.40232
3010,-1.97438
3011,-11.66387
3012,-1.77611
3013,-12.48027
3014,-2.90473
3015,-11.5673
3016,-0.9796
3017,-14.49927
3018,-2.21102
3019,-10.61427
3020,-2.91734
3021,-7.81207
3022,-3.39728
3023,-8.63575
3024,-3.39716
3025,-6.51927
3026,-2.54126
3027,-10.16446
3028,-1.68809
3029,-9.47693
3030,-0.49597
3031,-11.26764
3032,-1.0587
3033,-10.86372
3034,-2.00975
3035,-9.76079
3036,-4.02838
3037,-7.7889
3038,-2.90472
3039,-8.93238
3040,-3.5546
3041,-7.2965
3042,-2.22176
3043,-8.38
3044,-3.75055
3045,-5.82071
3046,-4.85609
3047,-6.60173
3048,-4.33346
3049,-4.88229
3050,-5.32027
3051,-1.98036
3052,-9.16346
3053,-2.04482
3054,-10.87877
3055,-3.204
3056,-8.85585
3057,-1.77242
3058,-12.3351
3059,-2.76904
3060,-10.45511
3061,-0.29816
3062,-12.8132
3063,-1.93127
3064,-10.97751
3065,-3.53309
3066,-8.59284
3067,-1.94433
3068,-10.3989
3069,-3.09456
3070,-9.41387
3071,-1.34569
3072,-13.06821
3073,-2.30701
3074,-9.85731
3075,-2.2539
3076,-9.08206
3077,-3.892
3078,-7.98832
3079,-3.10174
3080,-11.06757
3081,0.1386
3082,-12.9924
3083,-2.01723
3084,-8.83435
3085,-1.99571
3086,-9.92463
3087,-1.19787
3088,-12.03501
3089,0.04996
3090,-10.95082
3091,-1.36329
3092,-9.30499
3093,-1.90753
3094,-10.68682
3095,-2.0171
3096,-8.84987
3097,-0.4166
3098,-9.89844
3099,-3.71374
3100,-6.87749
3101,-3.03528
3102,-7.25182
3103,-3.89131
3104,-8.90786
3105,-2.70157
3106,-8.76508
3107,-0.56335
3108,-10.73303
3109,-1.26504
3110,-11.80008
3111,-1.04007
3112,-12.17526
3113,-0.20318
3114,-14.5439
3115,-1.88467
3116,-10.45344
3117,-2.23376
3118,-10.46901
3119,-2.70874
3120,-9.41741
3121,-4.19737
3122,-5.9383
3123,-3.74019
3124,-5.86876
3125,-4.93997
3126,-6.75988
3127,-4.34541
3128,-5.34193
3129,-4.70884
3130,-5.42994
3131,-4.53846
3132,-6.98191
3133,-5.40034
3134,-6.77227
3135,-4.87171
3136,-5.38394
3137,-6.39762
3138,-4.89856
3139,-2.9235
3140,-8.7705
3141,-1.92597
3142,-10.07883
3143,-2.40293
3144,-8.85311
3145,-2.76605
3146,-9.38644
3147,-2.20833
3148,-9.6008
3149,-2.20558
3150,-7.82893
3151,-2.70592
3152,-8.72727
3153,-5.90314
3154,-4.29805
3155,-6.34843
3156,-3.76019
3157,-6.48222
3158,-2.48417
3159,-7.28709
3160,-2.40424
3161,-7.95004
3162,-1.52452
3163,-9.4608
3164,-1.22053
3165,-11.3223
3166,-0.59694
3167,-10.47021
3168,-3.29468
3169,-9.01733
3170,-4.68692
3171,-8.95492
3172,-4.82463
3173,-5.89816
3174,-6.02479
3175,-4.40664
3176,-5.35231
3177,-6.58609
3178,-5.25897
3179,-4.87733
3180,-5.05669
3181,-5.66537
3182,-6.04463
3183,-5.69034
3184,-5.4664
3185,-4.71025
3186,-5.58021
3187,-3.63819
3188,-5.70425
3189,-5.06911
3190,-6.593
3191,-5.29957
3192,-4.88961
3193,-5.01558
3194,-8.37666
3195,-3.51811
3196,-8.08685
3197,-3.13176
3198,-8.91437
3199,-2.33099
3200,-9.11213
3201,-2.50836
3202,-7.2816
3203,-3.68524
3204,-6.64348
3205,-3.142
3206,-11.05547
3207,-2.35565
3208,-11.3151
3209,-2.28617
3210,-11.0133
3211,-0.7742
3212,-13.05885
3213,-3.27694
3214,-7.98213
3215,-3.31006
3216,-6.10122
3217,-3.24151
3218,-9.89037
3219,-1.64763
3220,-9.04912
3221,-1.86443
3222,-11.64155
3223,0.96847
3224,-14.83172
3225,-3.13733
3226,-9.74698
3227,-3.74573
