,values
400,-12.67958
401,-3.38591
402,-8.23789
403,-5.53586
404,-4.98905
405,-5.85951
406,-4.53927
407,-7.07359
408,-3.91349
409,-6.09604
410,-4.17286
411,-8.08183
412,-1.43435
413,-9.81177
414,-1.30783
415,-10.24344
416,-2.11398
417,-9.09093
418,-1.71917
419,-10.31194
420,-3.09599
421,-8.76396
422,-1.2729
423,-10.62668
424,-1.58943
425,-11.76313
426,-1.01836
427,-10.15092
428,-0.5924
429,-14.02722
430,-0.5015
431,-12.74752
432,-1.37259
433,-12.37322
434,-1.6703
435,-9.49479
436,-2.04738
437,-9.36846
438,-1.15152
439,-11.06396
440,-1.53089
441,-11.31414
442,-3.42725
443,-8.43313
444,-3.5149
445,-9.35669
446,-2.86093
447,-8.76807
448,-0.67085
449,-11.45815
450,-2.76077
451,-7.81148
452,-0.25553
453,-11.95226
454,-0.91978
455,-10.2281
456,0.23753
457,-10.61986
458,-1.88739
459,-10.66854
460,-1.46689
461,-11.78809
462,-0.15703
463,-12.22761
464,-1.09998
465,-11.72301
466,-0.69388
467,-11.89097
468,-1.65449
469,-10.03021
470,-2.97855
471,-9.04992
472,-1.94308
473,-9.30382
474,-2.81302
475,-10.28056
476,-1.10488
477,-11.27365
478,-3.03719
479,-7.32552
480,-4.80171
481,-4.93671
482,-6.17658
483,-5.96333
484,-5.96848
485,-5.68634
486,-3.40539
487,-7.62665
488,-2.82552
489,-9.76711
490,-3.21874
491,-9.87919
492,-3.13376
493,-6.33237
494,-2.54473
495,-8.7323
496,-1.95358
497,-9.78804
498,-1.61038
499,-11.45078
500,-2.84529
501,-9.69848
502,-1.396
503,-11.74682
504,-4.18849
505,-8.28967
506,-1.94658
507,-10.53056
508,-0.29803
509,-12.92294
510,-0.58279
511,-13.38292
512,-2.24571
513,-11.5333
514,-2.97152
515,-9.1839
516,-1.73474
517,-11.71271
518,-2.86849
519,-9.09987
520,-4.6887
521,-6.9102
522,-4.81898
523,-4.75931
524,-6.46241
525,-5.88182
526,-6.45434
527,-3.72044
528,-5.59727
529,-6.49464
530,-4.98075
531,-6.47213
532,-5.90494
533,-5.42938
534,-5.82507
535,-5.32818
536,-4.52037
537,-5.77333
538,-4.75601
539,-7.38955
540,-4.63156
541,-5.24289
542,-4.5164
543,-6.46339
544,-4.05701
545,-4.34709
546,-6.88148
547,-3.23192
548,-5.74422
549,-3.5951
550,-5.73595
551,-2.97375
552,-7.59144
553,-1.85792
554,-7.12194
555,-3.08471
556,-9.00852
557,-4.58992
558,-8.96244
559,-2.71448
560,-8.45687
561,-2.38495
562,-8.23989
563,-3.09569
564,-6.8793
565,-3.9665
566,-6.05325
567,-3.61886
568,-5.94691
569,-4.37849
570,-6.26885
571,-2.08228
572,-8.6259
573,-3.21085
574,-8.15555
575,-3.47862
576,-8.62413
577,-4.02103
578,-7.10057
579,-2.60559
580,-8.04696
581,-3.62479
582,-4.52907
583,-3.92522
584,-5.31448
585,-5.11467
586,-4.42663
587,-5.73888
588,-6.74401
589,-3.93662
590,-7.75728
591,-2.74627
592,-8.75873
593,-1.23842
594,-10.59108
595,-3.78291
596,-9.04848
597,-3.25161
598,-7.66356
599,-3.55051
600,-7.89236
601,-4.2125
602,-6.6802
603,-2.6279
604,-8.53464
605,-3.31582
606,-4.83146
607,-4.05141
